PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_TM,PMNTN_RISK,PMNTN_RECO
43473,414604501,은이산,사암리구간,,1.01,1,30,,
43501,414604501,은이산,,,1.00,1,30,,
13907,415003401,동맥이산,평창리구간,,0.83,1,30,,
28988,301102704,산내초교뒷산,낭월동임도구간,,1.01,1,30,"독사,급경사",
48943,437403501,천태산,누교리구간,,1.00,1,30,,
10628,471501001,달봉산,신음동구간,,0.82,1,30,,
56791,437403701,황학산,,,1.00,1,30,,
56993,301106104,116고지,주산동-추동리 버스승강장구간,,1.00,1,30,,
7966,437200701,금적산,서원리구간,,0.82,1,30,,
43870,437450301,이성산,화성리구간,,1.00,1,30,,
34557,437603801,신성봉,계원리구간,,0.95,1,30,,
26461,431102501,부모산,비하동구간,,1.01,1,30,,
21816,471905301,백운봉,남통동구간,,1.01,1,30,급경사 1개소(할딱고개) 있으니 주의 필요함,
22733,431504701,벼락바위봉,운학리구간,,1.01,1,30,,
22733,431504701,벼락바위봉,운학리구간,,1.01,1,30,,
48350,471903601,천생산,구평동구간,,1.00,1,30,,
45883,471903101,접성산,대망리구간,,1.01,1,30,,
42952,478502801,유학산,,,1.00,1,30,,
21877,471905301,백운봉,남통동남통1교옆입구구간,,1.01,1,30,급경사 1개소(할딱고개) 있으니 주의 필요함,
55231,271401401,환성산,,,1.00,1,30,,
20045,472301001,방가산,,,1.00,1,30,,
51701,477303801,토봉,단밀면 팔등리-단밀면 생송리구간,,0.95,1,30,,
33820,471904601,순사이산,신곡리구간,,1.01,1,30,,
12883,471301301,도덕산,,,1.01,1,30,,
10143,471900301,냉산,,,1.01,1,30,,
51891,271401201,팔공산_비로봉,,,1.00,1,30,,
51891,271401201,팔공산_비로봉,,,1.00,1,30,,
54875,471705401,화부산,고란리구간,,1.01,1,30,,
50136,479203401,청량산_의상봉,,,1.01,1,30,,
44491,471704301,자암산,무릉 소공원-무릉 유원지 입구구간,,1.00,1,30,,
38105,471706001,영남산,안기동구간,,1.01,1,30,,
37738,477502101,연점산,,,1.00,1,30,,
31868,471705801,성곡산,용상동구간,,1.01,1,30,,
9897,477602104,남이장군로,청기리구간,,1.01,1,30,,
2281,477600101,검마산,,,0.83,1,30,,
962,471705701,갈미봉,월전리구간,,1.00,1,30,,
33759,477601704,수하청소년수련원뒷산,수하리구간,,1.00,1,30,,
10415,438002704,느림보강물길,도담리구간,,1.01,1,30,,
442,431504101,가은산,상천리구간,,0.94,1,30,,
6065,421900301,구봉산,,,1.01,1,30,,
30262,282000401,상아산,장수동구간,,1.00,1,30,,
52731,413900601,학미산,방산동구간,,1.01,1,30,,
33358,411700301,수리산,,,1.01,1,30,,
33490,411700301,수리산,,,1.01,1,30,,
29629,411700101,삼성산,비산동구간,,0.83,1,30,,
11371,116500701,대모산,염곡동구간,,0.70,1,30,암석노출,
45955,416102101,정광산,궁평리구간,,1.00,1,30,,
4822,411170201,광교산,,,1.00,1,30,,
49633,412900401,청계산,,,1.01,1,30,,
20909,416101601,백마산,,,1.01,1,30,,
18788,416101401,문형산,추자리구간,,0.94,1,30,,
16625,414300401,모락산,,,1.01,1,30,,
12992,113200102,도봉산_자운봉,,,1.00,1,30,,
27292,113050202,북한산_백운대,효자동구간,,0.71,2,30,,
13218,113200102,도봉산_자운봉,울대리구간,,1.00,1,30,,
33184,113500201,수락산,신곡동구간,,1.01,1,30,,
21018,413602501,백봉산,금곡동구간,,1.01,1,30,,
55108,418204401,화야산,,,1.01,1,30,,
51109,412500401,칠봉산,봉양동구간,,1.01,1,30,,
42898,418303301,유명산,가일리구간,,1.01,1,30,,
42161,415003601,원적산,,,1.00,1,30,,
23101,418201801,보납산,,,1.00,1,30,,
9449,427201101,남산,,,1.01,1,30,,
8332,427200801,금학산,월천리구간,,1.00,1,30,,
8361,427200801,금학산,,,1.01,1,30,,
37702,418202901,연인산,백둔리탐방로,,1.00,1,30,,
2305,421100201,검봉산,강촌리구간,,1.00,1,30,,
40674,427901901,용화산,,,1.00,1,30,,
38507,421504602,오대산_노인봉,,,1.00,1,30,,
28219,428000601,비봉산,봉안사구간,,0.83,1,30,,
21103,427203001,백암산,와야리구간,,1.00,1,30,,
32973,428204204,송포약수터,석문리구간,,1.01,1,30,,
16653,421502701,모산봉,,,1.01,1,30,,
14482,422301901,두타산,,,1.00,1,30,,
3637,287100101,고려산,국화리-망월리구간,백련사,1.02,1,31,,
31416,469104701,선왕산,덕산리구간,,1.04,1,31,,
30611,469105001,서당산,하태서리구간,,1.02,1,31,,
14118,468201301,두륜산_가련봉,황산리구간,,1.02,1,31,,
12214,468100501,덕룡산,수양리구간,,1.03,1,31,,
31914,491100903,성불오름,송당리구간,,1.03,1,31,,
56954,468303001,흑석산,방춘리구간,,1.04,1,31,,
38631,468402401,오룡산,남악리구간,,1.02,1,31,,
33657,468001901,수인산,대리구간,,1.02,1,31,,
24541,467701101,봉두산,금마리구간,,1.03,1,31,,
675,468200201,가학산,가학리구간,,1.02,1,31,,
637,468000101,가지산,봉덕리구간,,0.73,1,31,,
38442,467902701,예성산,그린랜드펜션구간,금사바위~전망대~예성산~깃대봉~예성산~중간 탈출로~임도~그린펜션~금사바위,0.86,1,31,,
1533,467900101,개천산,주차장-등봉재-정상구간,주차장-등봉재-정상,0.72,2,31,,
15172,291101901,마집봉,,,1.03,1,31,,
8897,291100401,깃대봉,운림동구간,,0.73,1,31,,
33635,467101001,수양산,용대리구간,,0.85,1,31,,
33532,461303301,수문산,봉계동구간,,1.04,1,31,,
47326,488605302,지리산_천왕봉,,,1.02,1,31,,
39063,467301201,오산,회룡리구간,,1.04,1,31,,
22107,462300801,백운산,,,1.03,1,31,,
11396,461300701,대미산,평사리구간,,1.04,1,31,,
6527,462300401,국사봉,죽림리구간,,1.04,1,31,,
3235,467300301,계족산,간문리구간,,1.03,1,31,,
299,462300101,가야산,,,1.04,1,31,,
47326,488605302,지리산_천왕봉,,,1.02,1,31,,
56762,488501501,황장산,새끼미재-화개면 용강마을구간,,1.02,1,31,,
